0,xpos_1,ypos_1,height_1,xpos_2,ypos_2,height_2,xpos_3,ypos_3,height_3,focus
1,35.0,35.0,210640.0,24.0,32.0,4850.0,14.0,36.0,29140.0,0.0
2,1.0,1.0,1000.0,1.5,1.5,500.0,1.5,1.5,500.0,3.0
