0,xpos_1,ypos_1,height_1,xpos_2,ypos_2,height_2,focus
1,17.0,17.0,758533.0,6.0,20.0,8350.1,0.0
2,1.0,1.0,10000.0,1.5,1.5,1000.0,3.0
