-41367.24284105668,"[6.63313100e+01 4.68556042e+01 5.58534147e+03 7.09536003e+01
 5.08560511e+01 4.89245936e+02 1.32217758e+00]"
-41264.69527047915,"[6.63364892e+01 4.78361278e+01 5.93633419e+03 6.90797914e+01
 5.21063605e+01 4.07239274e+02 1.57178270e+00]"
-41110.206766455136,"[6.64458317e+01 4.76627685e+01 5.22094719e+03 7.07527376e+01
 5.15348279e+01 4.54059911e+02 1.48550023e+00]"
-40970.436801215474,"[6.63364892e+01 4.78361278e+01 5.93633419e+03 6.90797914e+01
 5.21063605e+01 4.07239274e+02 1.57178270e+00]"
-40870.270863533304,"[6.63436556e+01 4.69164861e+01 6.55741177e+03 7.00586795e+01
 5.09169494e+01 3.91746616e+02 1.53718334e+00]"
-41045.14883098474,"[6.60588209e+01 4.71832653e+01 5.30418327e+03 7.11270666e+01
 5.17373877e+01 5.07303917e+02 1.38424118e+00]"
-41041.58855885107,"[6.61952152e+01 4.72945396e+01 5.08646212e+03 7.10134122e+01
 5.15282498e+01 4.41774930e+02 1.48187661e+00]"
-40427.966802087925,"[6.64759562e+01 4.75153376e+01 1.15431018e+04 6.95919765e+01
 5.40095201e+01 6.30446123e+02 1.46440853e+00]"
-41048.757997995584,"[6.65915101e+01 4.74391142e+01 1.40815786e+04 6.88508318e+01
 5.51993164e+01 6.24324912e+02 1.48524137e+00]"
-41000.315641609166,"[6.63009710e+01 4.74219417e+01 5.04290432e+03 7.11716281e+01
 5.15016279e+01 3.91357262e+02 1.53647850e+00]"
-41101.65423688267,"[6.62403626e+01 4.74221202e+01 5.05127384e+03 7.13154935e+01
 5.14817212e+01 4.01081099e+02 1.53421064e+00]"
-40666.80783229034,"[6.62581980e+01 4.76155715e+01 1.43698655e+04 6.88926918e+01
 5.44180005e+01 7.65962728e+02 1.41716193e+00]"
-40794.94535399706,"[6.61294983e+01 4.77758908e+01 7.28981411e+03 7.31448077e+01
 5.19072524e+01 6.58569084e+02 1.64867305e+00]"
-41005.125145908314,"[6.62899289e+01 4.75508322e+01 5.28720537e+03 7.10402065e+01
 5.40647628e+01 5.93866490e+02 1.80665776e+00]"
-40866.10948761513,"[6.65535388e+01 4.75770994e+01 1.27034725e+04 6.93064665e+01
 5.44321120e+01 6.53349230e+02 1.47931878e+00]"
-40888.06929188747,"[6.63093559e+01 4.74452287e+01 5.08797061e+03 7.11610199e+01
 5.14987450e+01 3.98177608e+02 1.53533883e+00]"
-40433.72739860504,"[6.61940868e+01 4.74534698e+01 6.56735013e+03 6.89069085e+01
 5.24203715e+01 3.70237790e+02 1.64162206e+00]"
